SEGGER J-Link V6.42b Log File
DLL Compiled: Feb  5 2019 17:31:40
Logging started @ 2019-05-28 20:46

T3ED8 008:930 JLINK_DEVICE_GetInfo(DeviceIndex = 145)  returns 0 (0000ms, 0156ms total)
T3ED8 008:930 JLINK_DEVICE_GetInfo(DeviceIndex = 146)  returns 0 (0000ms, 0156ms total)
T3ED8 008:930 JLINK_DEVICE_GetInfo(DeviceIndex = 147)  returns 0 (0000ms, 0156ms total)
T3ED8 008:930 JLINK_DEVICE_GetInfo(DeviceIndex = 148)  returns 0 (0000ms, 0156ms total)
T3ED8 008:930 JLINK_DEVICE_GetInfo(DeviceIndex = 149)  returns 0 (0000ms, 0156ms total)
T3ED8 008:930 JLINK_DEVICE_GetInfo(DeviceIndex = 150)  returns 0 (0000ms, 0156ms total)
T3ED8 008:930 JLINK_DEVICE_GetInfo(DeviceIndex = 151)  returns 0 (0000ms, 0156ms total)
T3ED8 008:930 JLINK_DEVICE_GetInfo(DeviceIndex = 152)  returns 0 (0000ms, 0156ms total)
T3ED8 008:930 JLINK_DEVICE_GetInfo(DeviceIndex = 153)  returns 0 (0000ms, 0156ms total)
T3ED8 008:930 JLINK_DEVICE_GetInfo(DeviceIndex = 154)  returns 0 (0000ms, 0156ms total)
T3ED8 008:930 JLINK_DEVICE_GetInfo(DeviceIndex = 155)  returns 0 (0000ms, 0156ms total)
T3ED8 008:930 JLINK_DEVICE_GetInfo(DeviceIndex = 156)  returns 0 (0000ms, 0156ms total)
T3ED8 008:930 JLINK_DEVICE_GetInfo(DeviceIndex = 157)  returns 0 (0000ms, 0156ms total)
T3ED8 008:930 JLINK_DEVICE_GetInfo(DeviceIndex = 158)  returns 0 (0000ms, 0156ms total)
T3ED8 008:930 JLINK_DEVICE_GetInfo(DeviceIndex = 159)  returns 0 (0000ms, 0156ms total)
T3ED8 008:930 JLINK_DEVICE_GetInfo(DeviceIndex = 160)  returns 0 (0000ms, 0156ms total)
T3ED8 008:930 JLINK_DEVICE_GetInfo(DeviceIndex = 161)  returns 0 (0000ms, 0156ms total)
T3ED8 008:930 JLINK_DEVICE_GetInfo(DeviceIndex = 162)  returns 0 (0000ms, 0156ms total)
T3ED8 008:930 JLINK_DEVICE_GetInfo(DeviceIndex = 163)  returns 0 (0000ms, 0156ms total)
T3ED8 008:930 JLINK_DEVICE_GetInfo(DeviceIndex = 164)  returns 0 (0000ms, 0156ms total)
T3ED8 008:930 JLINK_DEVICE_GetInfo(DeviceIndex = 165)  returns 0 (0000ms, 0156ms total)
T3ED8 008:930 JLINK_DEVICE_GetInfo(DeviceIndex = 166)  returns 0 (0000ms, 0156ms total)
T3ED8 008:930 JLINK_DEVICE_GetInfo(DeviceIndex = 167)  returns 0 (0000ms, 0156ms total)
T3ED8 008:930 JLINK_DEVICE_GetInfo(DeviceIndex = 168)  returns 0 (0000ms, 0156ms total)
T3ED8 008:931 JLINK_DEVICE_GetInfo(DeviceIndex = 169)  returns 0 (0000ms, 0156ms total)
T3ED8 008:931 JLINK_DEVICE_GetInfo(DeviceIndex = 170)  returns 0 (0000ms, 0156ms total)
